,workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded,part_keywords
77340,user_354,Its headstock is angled to the right,3U4J9857OG4PRXTOO1TQPVUDOGG7BH,80.0,b6d2d35747549a5b93f0194265a9746c,guitar,ShapeNet,1c374a198daaddc493f0194265a9746c,guitar,ShapeNet,False,guitar/ShapeNet/1c374a198daaddc493f0194265a9746c,guitar/ShapeNet/b6d2d35747549a5b93f0194265a9746c,True,guitar,guitar,0,"['its', 'headstock', 'is', 'angled', 'to', 'the', 'right']",7,its headstock is angled to the right,train,train,train,train,"[1, 5, 3882, 7, 168, 58, 10, 118, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",head
77344,user_65,Its body is symmetrical,3HL8HNGX47UJIXTX80D6MHC4YZYF9B,91.0,6f3e9247e77897989ce06ac269757e69,guitar,ShapeNet,9bee64cbbb1061678aeceec6397860fa,guitar,ShapeNet,False,guitar/ShapeNet/9bee64cbbb1061678aeceec6397860fa,guitar/ShapeNet/6f3e9247e77897989ce06ac269757e69,True,guitar,guitar,0,"['its', 'body', 'is', 'symmetrical']",4,its body is symmetrical,train,train,train,train,"[1, 5, 45, 7, 489, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",body
77346,user_354,It does not have any gaps in its body,3X73LLYYQ37OLVOX40KB73J1J5RHND,67.0,fcab134da044e5fc77f469126771fc30,guitar,ShapeNet,214f6a08b78670de2cb522418d5742a0,guitar,ShapeNet,False,guitar/ShapeNet/214f6a08b78670de2cb522418d5742a0,guitar/ShapeNet/fcab134da044e5fc77f469126771fc30,True,guitar,guitar,0,"['it', 'does', 'not', 'have', 'any', 'gaps', 'in', 'its', 'body']",9,it does not have any gaps in its body,train,train,train,train,"[1, 23, 39, 40, 84, 278, 1215, 90, 5, 45, 2, 0, 0, 0, 0, 0, 0, 0]",body
77347,user_1221,Target has no visible holes in the body.,3Z9WI9EOZ1HNDP3U7NSVFB2XP8JHK1,136.0,fcab134da044e5fc77f469126771fc30,guitar,ShapeNet,214f6a08b78670de2cb522418d5742a0,guitar,ShapeNet,False,guitar/ShapeNet/214f6a08b78670de2cb522418d5742a0,guitar/ShapeNet/fcab134da044e5fc77f469126771fc30,True,guitar,guitar,0,"['target', 'has', 'no', 'visible', 'holes', 'in', 'the', 'body']",8,target has no visible holes in the body,train,train,train,train,"[1, 11, 24, 123, 185, 234, 90, 10, 45, 2, 0, 0, 0, 0, 0, 0, 0, 0]",body
77348,user_65,It has two necks,3DH6GAKTY0I4OFS5HOZTOQLDJDIYZC,59.0,8ad0bde65846fd724133bbb00b8e2c6e,guitar,ShapeNet,5dd9e0c35898183bfbeef84a1ff2df7f,guitar,ShapeNet,False,guitar/ShapeNet/5dd9e0c35898183bfbeef84a1ff2df7f,guitar/ShapeNet/8ad0bde65846fd724133bbb00b8e2c6e,False,guitar,guitar,0,"['it', 'has', 'two', 'necks']",4,it has two necks,train,train,train,train,"[1, 23, 24, 17, 1807, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",neck
77349,user_1577,has two necks,3GGAI1SQEXRRM5SH67RAJXXL1MRCMC,89.0,8ad0bde65846fd724133bbb00b8e2c6e,guitar,ShapeNet,5dd9e0c35898183bfbeef84a1ff2df7f,guitar,ShapeNet,False,guitar/ShapeNet/5dd9e0c35898183bfbeef84a1ff2df7f,guitar/ShapeNet/8ad0bde65846fd724133bbb00b8e2c6e,False,guitar,guitar,0,"['has', 'two', 'necks']",3,has two necks,train,train,train,train,"[1, 24, 17, 1807, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",neck
77350,user_354,Its knobs are on the left side of its body,39JEC7537WUACSMQKZS16TGYSGEVCP,63.0,35cdae95d5e278291082f2ea630bf69e,guitar,ShapeNet,8e15e57014a36199e52028751701a83,guitar,ShapeNet,False,guitar/ShapeNet/8e15e57014a36199e52028751701a83,guitar/ShapeNet/35cdae95d5e278291082f2ea630bf69e,True,guitar,guitar,0,"['its', 'knobs', 'are', 'on', 'the', 'left', 'side', 'of', 'its', 'body']",10,its knobs are on the left side of its body,test,train,test,train,"[1, 5, 224, 16, 20, 10, 187, 22, 38, 5, 45, 2, 0, 0, 0, 0, 0, 0]",body
77352,user_1154,The top of the headstock is somewhat flat.,3QECW5O0KJUA0F9M0U5ER5M33MWT5Z,386.0,2e51f4d434d7f760e7447543ac4d4049,guitar,ShapeNet,ffa8015ea7ab2e0b900fb9e135826c5e,guitar,ShapeNet,False,guitar/ShapeNet/ffa8015ea7ab2e0b900fb9e135826c5e,guitar/ShapeNet/2e51f4d434d7f760e7447543ac4d4049,True,guitar,guitar,0,"['the', 'top', 'of', 'the', 'headstock', 'is', 'somewhat', 'flat']",8,the top of the headstock is somewhat flat,train,train,train,train,"[1, 10, 99, 38, 10, 3882, 7, 1175, 129, 2, 0, 0, 0, 0, 0, 0, 0, 0]",head
77353,user_1252,The spacing design displayed in the head of the Target guitar is curved.,3RJSC4XJ12N9K6CV2SH47UKY69L05C,580.0,2e51f4d434d7f760e7447543ac4d4049,guitar,ShapeNet,ffa8015ea7ab2e0b900fb9e135826c5e,guitar,ShapeNet,False,guitar/ShapeNet/ffa8015ea7ab2e0b900fb9e135826c5e,guitar/ShapeNet/2e51f4d434d7f760e7447543ac4d4049,True,guitar,guitar,0,"['the', 'spacing', 'design', 'displayed', 'in', 'the', 'head', 'of', 'the', 'target', 'guitar', 'is', 'curved']",13,the spacing design displayed in the head of the target guitar is curved,train,train,train,train,"[1, 10, 2980, 192, 2189, 90, 10, 107, 38, 10, 11, 757, 7, 51, 2, 0, 0, 0]",head
77355,user_1712,the tuning pegs are on both sides of the head,3SNLUL3WO6G32HRWSMBVDQ428GKULC,56.0,fc7231fd95d1e4687a57dd3c9d98d88,guitar,ShapeNet,9c260623916034b6f7d037d5768b173f,guitar,ShapeNet,False,guitar/ShapeNet/9c260623916034b6f7d037d5768b173f,guitar/ShapeNet/fc7231fd95d1e4687a57dd3c9d98d88,False,guitar,guitar,0,"['the', 'tuning', 'pegs', 'are', 'on', 'both', 'sides', 'of', 'the', 'head']",10,the tuning pegs are on both sides of the head,train,train,train,train,"[1, 10, 3883, 2023, 16, 20, 470, 360, 38, 10, 107, 2, 0, 0, 0, 0, 0, 0]",head
77357,user_2001,The target has a curvier body,3NPFYT4IZEXFXT7QM0P2K5YY6I2XGQ,41.0,824184668c5a297a5ece9c83df74def8,guitar,ShapeNet,52ecf1d8e279c1bb1f8d5edb17ddb332,guitar,ShapeNet,False,guitar/ShapeNet/52ecf1d8e279c1bb1f8d5edb17ddb332,guitar/ShapeNet/824184668c5a297a5ece9c83df74def8,False,guitar,guitar,0,"['the', 'target', 'has', 'a', 'curvy', '-er', 'body']",7,the target has a curvy -er body,train,train,train,train,"[1, 10, 11, 24, 26, 179, 9, 45, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",body
77360,user_354,The top of its headstock is V-Shaped,32Z9ZLUT1ND63GO95FKOMSJ69F0HOW,48.0,36b49aff54f6d7e893f0194265a9746c,guitar,ShapeNet,d528407fe43b5df193f0194265a9746c,guitar,ShapeNet,False,guitar/ShapeNet/d528407fe43b5df193f0194265a9746c,guitar/ShapeNet/36b49aff54f6d7e893f0194265a9746c,True,guitar,guitar,0,"['the', 'top', 'of', 'its', 'headstock', 'is', 'v', 'shaped']",8,the top of its headstock is v shaped,train,train,train,train,"[1, 10, 99, 38, 5, 3882, 7, 384, 14, 2, 0, 0, 0, 0, 0, 0, 0, 0]",head
77363,user_1088,Thr body is longer snd less round,34MAJL3QP6GN5F7S7AGD40CR93R34E,116.0,ecd53707110dbc208d8778ff441ce85d,guitar,ShapeNet,26e1801ea747f72f14fe0da28e4f8384,guitar,ShapeNet,False,guitar/ShapeNet/26e1801ea747f72f14fe0da28e4f8384,guitar/ShapeNet/ecd53707110dbc208d8778ff441ce85d,True,guitar,guitar,0,"['thr', 'body', 'is', 'long', '-er', 'snd', 'less', 'round']",8,thr body is long -er snd less round,train,train,train,train,"[1, 2523, 45, 7, 32, 9, 3785, 229, 134, 2, 0, 0, 0, 0, 0, 0, 0, 0]",body
77364,user_354,It has alot more tuners on its headstock,3EJPLAJKEO925VIZB5415Z1KK5EZ66,57.0,451678b1ddcaf9e6d26aa1b9cb124738,guitar,ShapeNet,a31ef3a8c70b789b93f0194265a9746c,guitar,ShapeNet,False,guitar/ShapeNet/a31ef3a8c70b789b93f0194265a9746c,guitar/ShapeNet/451678b1ddcaf9e6d26aa1b9cb124738,True,guitar,guitar,0,"['it', 'has', 'a', 'lot', 'more', 'tuners', 'on', 'its', 'headstock']",9,it has a lot more tuners on its headstock,train,train,train,train,"[1, 23, 24, 26, 110, 34, 3887, 20, 5, 3882, 2, 0, 0, 0, 0, 0, 0, 0]",head
77365,user_1529,The head is wider.,3Z9WI9EOZ1HNDP3U7NSVFB2XP8QHK8,187.0,451678b1ddcaf9e6d26aa1b9cb124738,guitar,ShapeNet,a31ef3a8c70b789b93f0194265a9746c,guitar,ShapeNet,False,guitar/ShapeNet/a31ef3a8c70b789b93f0194265a9746c,guitar/ShapeNet/451678b1ddcaf9e6d26aa1b9cb124738,True,guitar,guitar,0,"['the', 'head', 'is', 'wide', '-er']",5,the head is wide -er,train,train,train,train,"[1, 10, 107, 7, 83, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",head
77367,user_677,The sides of its body are less jagged.,3QY5DC2MXTDH2PH06B8XIDZIB06UFB,92.0,661c603f9f7645f0d50e84209ea2fc33,guitar,ShapeNet,2028861c76471591c64d0082475b0472,guitar,ShapeNet,False,guitar/ShapeNet/2028861c76471591c64d0082475b0472,guitar/ShapeNet/661c603f9f7645f0d50e84209ea2fc33,True,guitar,guitar,0,"['the', 'sides', 'of', 'its', 'body', 'are', 'less', 'jagged']",8,the sides of its body are less jagged,test,train,test,train,"[1, 10, 360, 38, 5, 45, 16, 229, 1427, 2, 0, 0, 0, 0, 0, 0, 0, 0]",body
77368,user_1154,The neck does not get narrower than the bottom at its top.,3IRIK4HM3CDPX27PJRKTU10ZBNRC6J,82.0,b05152856ba7ceee1e7516298c9158e1,guitar,ShapeNet,dab53ffe5ceafeb198e9e7d2e581bf6c,guitar,ShapeNet,False,guitar/ShapeNet/dab53ffe5ceafeb198e9e7d2e581bf6c,guitar/ShapeNet/b05152856ba7ceee1e7516298c9158e1,True,guitar,guitar,0,"['the', 'neck', 'does', 'not', 'get', 'narrow', '-er', 'than', 'the', 'bottom', 'at', 'its', 'top']",13,the neck does not get narrow -er than the bottom at its top,train,train,train,train,"[1, 10, 509, 39, 40, 1892, 210, 9, 131, 10, 76, 98, 5, 99, 2, 0, 0, 0]",neck
77369,user_1598,The headstock for the target is smaller.,3NPFYT4IZEXFXT7QM0P2K5YY6I8GXF,106.0,b05152856ba7ceee1e7516298c9158e1,guitar,ShapeNet,dab53ffe5ceafeb198e9e7d2e581bf6c,guitar,ShapeNet,False,guitar/ShapeNet/dab53ffe5ceafeb198e9e7d2e581bf6c,guitar/ShapeNet/b05152856ba7ceee1e7516298c9158e1,True,guitar,guitar,0,"['the', 'headstock', 'for', 'the', 'target', 'is', 'small', '-er']",8,the headstock for the target is small -er,train,train,train,train,"[1, 10, 3882, 259, 10, 11, 7, 111, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0]",head
77370,user_1577,body is smoother and more of a traditional electric guitar shape,308Q0PEVBA63SOVN98JRPEPWESXI9E,83.0,93519f396ef3cb23a00521ba9447845b,guitar,ShapeNet,ede91ce18b53368484d922f11bc5db6e,guitar,ShapeNet,False,guitar/ShapeNet/ede91ce18b53368484d922f11bc5db6e,guitar/ShapeNet/93519f396ef3cb23a00521ba9447845b,False,guitar,guitar,0,"['body', 'is', 'smooth', '-er', 'and', 'more', 'of', 'a', 'traditional', 'electric', 'guitar', 'shape']",12,body is smooth -er and more of a traditional electric guitar shape,train,train,train,train,"[1, 45, 7, 379, 9, 47, 34, 38, 26, 1030, 2169, 757, 93, 2, 0, 0, 0, 0]",body
77376,user_1577,body is X shaped with t pointed protrusions at bottom,3WT783CTPDAV3EOKFI115HMRPONBCO,85.0,ef1c22bd3b74953689f0379846507dd3,guitar,ShapeNet,a2c1ee6a7ddb50a493f0194265a9746c,guitar,ShapeNet,False,guitar/ShapeNet/a2c1ee6a7ddb50a493f0194265a9746c,guitar/ShapeNet/ef1c22bd3b74953689f0379846507dd3,False,guitar,guitar,0,"['body', 'is', 'x', 'shaped', 'with', 't', 'pointed', 'protrusions', 'at', 'bottom']",10,body is x shaped with t pointed protrusions at bottom,train,train,train,train,"[1, 45, 7, 208, 14, 121, 1235, 387, 252, 98, 76, 2, 0, 0, 0, 0, 0, 0]",body
77377,user_1598,"The top of the target's headstock looks like a wide ""V"".",3IAEQB9FMGDXW9S9A5S8C1HUKS5WDJ,83.0,ef1c22bd3b74953689f0379846507dd3,guitar,ShapeNet,a2c1ee6a7ddb50a493f0194265a9746c,guitar,ShapeNet,False,guitar/ShapeNet/a2c1ee6a7ddb50a493f0194265a9746c,guitar/ShapeNet/ef1c22bd3b74953689f0379846507dd3,False,guitar,guitar,0,"['the', 'top', 'of', 'the', 'target', ""'s"", 'headstock', 'looks', 'like', 'a', 'wide', 'v']",12,the top of the target 's headstock looks like a wide v,train,train,train,train,"[1, 10, 99, 38, 10, 11, 12, 3882, 33, 35, 26, 83, 384, 2, 0, 0, 0, 0]",head
77378,user_927,The headstock is more rectangular,3OXV7EAXLGJ1K2B6QY9S1YW558L36F,102.0,ed2823c4896d692ed5ab54dd668fd99d,guitar,ShapeNet,9aaad035af7e6ab1ed724609df3eb104,guitar,ShapeNet,False,guitar/ShapeNet/9aaad035af7e6ab1ed724609df3eb104,guitar/ShapeNet/ed2823c4896d692ed5ab54dd668fd99d,True,guitar,guitar,0,"['the', 'headstock', 'is', 'more', 'rectangular']",5,the headstock is more rectangular,val,train,val,train,"[1, 10, 3882, 7, 34, 128, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",head
77379,user_1529,There are tuning pegs sticking out of the side of the head.,3EFVCAY5L52Z9UWJMYYD1J9L75ZJ85,236.0,ed2823c4896d692ed5ab54dd668fd99d,guitar,ShapeNet,9aaad035af7e6ab1ed724609df3eb104,guitar,ShapeNet,False,guitar/ShapeNet/9aaad035af7e6ab1ed724609df3eb104,guitar/ShapeNet/ed2823c4896d692ed5ab54dd668fd99d,True,guitar,guitar,0,"['there', 'are', 'tuning', 'pegs', 'sticking', 'out', 'of', 'the', 'side', 'of', 'the', 'head']",12,there are tuning pegs sticking out of the side of the head,val,train,val,train,"[1, 15, 16, 3883, 2023, 949, 89, 38, 10, 22, 38, 10, 107, 2, 0, 0, 0, 0]",head
77380,user_354,It has less knobs on the right side of its body,3YDGXNSEO1N96CDYJRB9VHK2P5F843,46.0,ea23bdf251c9be975c6a44a505804654,guitar,ShapeNet,d157227240617cac755f5f999c69a058,guitar,ShapeNet,False,guitar/ShapeNet/d157227240617cac755f5f999c69a058,guitar/ShapeNet/ea23bdf251c9be975c6a44a505804654,True,guitar,guitar,0,"['it', 'has', 'less', 'knobs', 'on', 'the', 'right', 'side', 'of', 'its', 'body']",11,it has less knobs on the right side of its body,train,train,train,train,"[1, 23, 24, 229, 224, 20, 10, 118, 22, 38, 5, 45, 2, 0, 0, 0, 0, 0]",body
77382,user_354,Its knobs jut out from its body more,3II4UPYCOL0SCCWNYWT2KCZ8WM5QDG,65.0,e3378988d0aee759d48b953ad82bf595,guitar,ShapeNet,65c02d42310072893ad5c8c907218ae5,guitar,ShapeNet,False,guitar/ShapeNet/65c02d42310072893ad5c8c907218ae5,guitar/ShapeNet/e3378988d0aee759d48b953ad82bf595,True,guitar,guitar,0,"['its', 'knobs', 'jut', 'out', 'from', 'its', 'body', 'more']",8,its knobs jut out from its body more,train,train,train,train,"[1, 5, 224, 1213, 89, 113, 5, 45, 34, 2, 0, 0, 0, 0, 0, 0, 0, 0]",body
77383,user_1032,It has two tuning pegs alongside each side of the headstock,3C44YUNSI3I7C0V8YJEDK79YRT7PDI,207.0,e3378988d0aee759d48b953ad82bf595,guitar,ShapeNet,65c02d42310072893ad5c8c907218ae5,guitar,ShapeNet,False,guitar/ShapeNet/65c02d42310072893ad5c8c907218ae5,guitar/ShapeNet/e3378988d0aee759d48b953ad82bf595,True,guitar,guitar,0,"['it', 'has', 'two', 'tuning', 'pegs', 'alongside', 'each', 'side', 'of', 'the', 'headstock']",11,it has two tuning pegs alongside each side of the headstock,train,train,train,train,"[1, 23, 24, 17, 3883, 2023, 2144, 21, 22, 38, 10, 3882, 2, 0, 0, 0, 0, 0]",head
77384,user_1154,There are three volume and tone control knobs on the body.,3NVC2EB65SS33MLCWH4KKPGY4R0Y3E,384.0,83e4f00f3c5b50ceb470346f25b26583,guitar,ShapeNet,39eaab6f38e942df5217e44802ac5173,guitar,ShapeNet,False,guitar/ShapeNet/39eaab6f38e942df5217e44802ac5173,guitar/ShapeNet/83e4f00f3c5b50ceb470346f25b26583,True,guitar,guitar,0,"['there', 'are', 'three', 'volume', 'and', 'tone', 'control', 'knobs', 'on', 'the', 'body']",11,there are three volume and tone control knobs on the body,train,train,train,train,"[1, 15, 16, 80, 1028, 47, 3794, 235, 224, 20, 10, 45, 2, 0, 0, 0, 0, 0]",body
77385,user_1252,The top of the head of the target guitar is rounded in shape.,3GDTJDAPVW4PA224PVB5HB12B2QM8E,940.0,83e4f00f3c5b50ceb470346f25b26583,guitar,ShapeNet,39eaab6f38e942df5217e44802ac5173,guitar,ShapeNet,False,guitar/ShapeNet/39eaab6f38e942df5217e44802ac5173,guitar/ShapeNet/83e4f00f3c5b50ceb470346f25b26583,True,guitar,guitar,0,"['the', 'top', 'of', 'the', 'head', 'of', 'the', 'target', 'guitar', 'is', 'rounded', 'in', 'shape']",13,the top of the head of the target guitar is rounded in shape,train,train,train,train,"[1, 10, 99, 38, 10, 107, 38, 10, 11, 757, 7, 48, 90, 93, 2, 0, 0, 0]",head
77386,user_1598,The target's tuners are all on one side of the headstock.,3UOUJI6MTF7Y2B8L65EJOKZPFPOUXS,104.0,e3378988d0aee759d48b953ad82bf595,guitar,ShapeNet,b68c1576d19b5f1b93b667ec2f48a310,guitar,ShapeNet,False,guitar/ShapeNet/b68c1576d19b5f1b93b667ec2f48a310,guitar/ShapeNet/e3378988d0aee759d48b953ad82bf595,False,guitar,guitar,0,"['the', 'target', ""'s"", 'tuners', 'are', 'all', 'on', 'one', 'side', 'of', 'the', 'headstock']",12,the target 's tuners are all on one side of the headstock,train,train,train,train,"[1, 10, 11, 12, 3887, 16, 367, 20, 19, 22, 38, 10, 3882, 2, 0, 0, 0, 0]",head
77387,user_2001,The target has a flame-shaped body,33JKGHPFYENAD9P8VX0OZ8RX0Q6MN5,57.0,e3378988d0aee759d48b953ad82bf595,guitar,ShapeNet,b68c1576d19b5f1b93b667ec2f48a310,guitar,ShapeNet,False,guitar/ShapeNet/b68c1576d19b5f1b93b667ec2f48a310,guitar/ShapeNet/e3378988d0aee759d48b953ad82bf595,False,guitar,guitar,0,"['the', 'target', 'has', 'a', 'flame', 'shaped', 'body']",7,the target has a flame shaped body,train,train,train,train,"[1, 10, 11, 24, 26, 3892, 14, 45, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",body
