,Unnamed: 0,workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded,part_keywords,part_manually,part_llama3
27549,27549,user_994,The target has a smaller base,3I2PTA7R3VN0QI2XQDFPOPUY5QOKQO,160.0,66fbe6533abfe75195b26656722dea64,lamp,ShapeNet,lamp_0112,lamp,ModelNet,False,lamp/ModelNet/lamp_0112,lamp/ShapeNet/66fbe6533abfe75195b26656722dea64,False,lamp,lamp,0,"['the', 'target', 'has', 'a', 'small', '-er', 'base']",7,the target has a small -er base,train,train,train,train,"[1, 10, 11, 24, 26, 111, 9, 103, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",base,,
27552,27552,user_660,shorter pole,3UNH76FOCUY4P8TM2Z9ZGOP4T4ZYM9,72.0,d59202f9d1504c8cc65f1ed6a348c8a9,lamp,ShapeNet,8e8f964be5bea1068616812464c86290,lamp,ShapeNet,False,lamp/ShapeNet/8e8f964be5bea1068616812464c86290,lamp/ShapeNet/d59202f9d1504c8cc65f1ed6a348c8a9,True,lamp,lamp,0,"['short', '-er', 'pole']",3,short -er pole,train,train,train,train,"[1, 8, 9, 1299, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",tube,,
27554,27554,user_1086,There are 3 more shades,337RC3OW07V3FWGWXCL09C6LBH5VLR,101.0,ff07372af062502af47e57eb62ec59ec,lamp,ShapeNet,68a94becfec1965e21d6b7a56ef55b4,lamp,ShapeNet,False,lamp/ShapeNet/68a94becfec1965e21d6b7a56ef55b4,lamp/ShapeNet/ff07372af062502af47e57eb62ec59ec,False,lamp,lamp,0,"['there', 'are', 'three', 'more', 'shades']",5,there are three more shades,train,train,train,train,"[1, 15, 16, 80, 34, 1847, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",shade,,
27555,27555,user_1709,"There are four lights, not one",3ZPPDN2SLXPRCJT1DPT04ZR4BSA9ER,133.0,ff07372af062502af47e57eb62ec59ec,lamp,ShapeNet,68a94becfec1965e21d6b7a56ef55b4,lamp,ShapeNet,False,lamp/ShapeNet/68a94becfec1965e21d6b7a56ef55b4,lamp/ShapeNet/ff07372af062502af47e57eb62ec59ec,False,lamp,lamp,0,"['there', 'are', 'four', 'lights', 'not', 'one']",6,there are four lights not one,train,train,train,train,"[1, 15, 16, 322, 3508, 40, 19, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",bulb,,
27558,27558,user_1191,The target pole is bent lower,38F5OAUN5P5ZIAWAOT3MB6XB8JSH7J,110.0,20ddd6039bb61e97fa01175e0dff0063,lamp,ShapeNet,7cb828eb3b8e424b1e88064118b89a3e,lamp,ShapeNet,False,lamp/ShapeNet/7cb828eb3b8e424b1e88064118b89a3e,lamp/ShapeNet/20ddd6039bb61e97fa01175e0dff0063,True,lamp,lamp,0,"['the', 'target', 'pole', 'is', 'bent', 'low', '-er']",7,the target pole is bent low -er,test,train,test,train,"[1, 10, 11, 1299, 7, 173, 345, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",tube,,
27559,27559,user_1271,Target has a three step square base,3C44YUNSI3I7C0V8YJEDK79YGKEDPK,147.0,20ddd6039bb61e97fa01175e0dff0063,lamp,ShapeNet,7cb828eb3b8e424b1e88064118b89a3e,lamp,ShapeNet,False,lamp/ShapeNet/7cb828eb3b8e424b1e88064118b89a3e,lamp/ShapeNet/20ddd6039bb61e97fa01175e0dff0063,True,lamp,lamp,0,"['target', 'has', 'a', 'three', 'step', 'square', 'base']",7,target has a three step square base,test,train,test,train,"[1, 11, 24, 26, 80, 1264, 50, 103, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",base,,
27560,27560,user_206,The target has a single strait pole for a body,340UGXU9D0U6YM3Q6QD10Z24O8RVUE,737.0,f91b13fe06141138fcb8d8c6d4df8143,lamp,ShapeNet,lamp_0078,lamp,ModelNet,False,lamp/ModelNet/lamp_0078,lamp/ShapeNet/f91b13fe06141138fcb8d8c6d4df8143,False,lamp,lamp,0,"['the', 'target', 'has', 'a', 'single', 'strait', 'pole', 'for', 'a', 'body']",10,the target has a single strait pole for a body,train,train,train,train,"[1, 10, 11, 24, 26, 86, 459, 1299, 259, 26, 45, 2, 0, 0, 0, 0, 0, 0]",tube,,
27561,27561,user_1886,Has a square base,30OG32W0SW4C1LXVEZC5M0MOGHOENS,235.0,f91b13fe06141138fcb8d8c6d4df8143,lamp,ShapeNet,lamp_0078,lamp,ModelNet,False,lamp/ModelNet/lamp_0078,lamp/ShapeNet/f91b13fe06141138fcb8d8c6d4df8143,False,lamp,lamp,0,"['has', 'a', 'square', 'base']",4,has a square base,train,train,train,train,"[1, 24, 26, 50, 103, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",base,,
27563,27563,user_1680,The target has a thicker cord on top.,3VJ40NV2QKGW8PF4591D0BMU912TOY,162.0,38f3a721c7ac21cb8a1a0260fe4e4cb9,lamp,ShapeNet,ed57181b9e7644a3f51f77a6d7299806,lamp,ShapeNet,False,lamp/ShapeNet/ed57181b9e7644a3f51f77a6d7299806,lamp/ShapeNet/38f3a721c7ac21cb8a1a0260fe4e4cb9,True,lamp,lamp,0,"['the', 'target', 'has', 'a', 'thick', '-er', 'cord', 'on', 'top']",9,the target has a thick -er cord on top,test,train,test,train,"[1, 10, 11, 24, 26, 54, 9, 429, 20, 99, 2, 0, 0, 0, 0, 0, 0, 0]",shade,,
27564,27564,user_515,"Target has a top that is shaped like a half dome, not a full circle.",3QUO65DNQWHB82UT5ERN578WSG9OUM,169.0,77a7d38645738e2212c5719ce6179,lamp,ShapeNet,9f6c2428e0cd344d157d629c9921fc15,lamp,ShapeNet,False,lamp/ShapeNet/9f6c2428e0cd344d157d629c9921fc15,lamp/ShapeNet/77a7d38645738e2212c5719ce6179,True,lamp,lamp,0,"['target', 'has', 'a', 'top', 'that', 'is', 'shaped', 'like', 'a', 'half', 'dome', 'not', 'a', 'full', 'circle']",15,target has a top that is shaped like a half dome not a full circle,train,train,train,train,"[1, 11, 24, 26, 99, 172, 7, 14, 35, 26, 158, 159, 40, 26, 217, 149, 2, 0]",shade,,
27565,27565,user_1858,It has a smaller shade,3TMSXRD2X8T34ECXUC8DBZGLKLZ1W0,79.0,77a7d38645738e2212c5719ce6179,lamp,ShapeNet,9f6c2428e0cd344d157d629c9921fc15,lamp,ShapeNet,False,lamp/ShapeNet/9f6c2428e0cd344d157d629c9921fc15,lamp/ShapeNet/77a7d38645738e2212c5719ce6179,True,lamp,lamp,0,"['it', 'has', 'a', 'small', '-er', 'shade']",6,it has a small -er shade,train,train,train,train,"[1, 23, 24, 26, 111, 9, 1873, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",shade,,
27566,27566,user_773,The target does not have a lampshade,3EQHHY4HQUL6VANGGU67SM7E2BYG5E,139.0,6c33f42a0f97360143dbb6421d614c0d,lamp,ShapeNet,7be01530bf43f2ed8a83637b92bdc7,lamp,ShapeNet,False,lamp/ShapeNet/7be01530bf43f2ed8a83637b92bdc7,lamp/ShapeNet/6c33f42a0f97360143dbb6421d614c0d,False,lamp,lamp,0,"['the', 'target', 'does', 'not', 'have', 'a', 'lampshade']",7,the target does not have a lampshade,train,train,train,train,"[1, 10, 11, 39, 40, 84, 26, 3402, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",shade,,
27567,27567,user_1106,The shade is smaller,3QY7M81QH9FQK0XIUE6JOYD300UK7O,55.0,894cdb80665ba73dbfeb5b5bfc3dfc3b,lamp,ShapeNet,72099a83e9a058ace715cd506e17332,lamp,ShapeNet,False,lamp/ShapeNet/72099a83e9a058ace715cd506e17332,lamp/ShapeNet/894cdb80665ba73dbfeb5b5bfc3dfc3b,True,lamp,lamp,0,"['the', 'shade', 'is', 'small', '-er']",5,the shade is small -er,train,train,train,train,"[1, 10, 1873, 7, 111, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",shade,,
27571,27571,user_685,The target does not have a flat platform attached to its shade.,3KB8R4ZV1G08KQ4PH4XKV876CAXBGT,926.0,efc262f7c8bc9fe66b1291e0cfc0c93d,lamp,ShapeNet,f8bdd98f53fd851ec1537287b5c50d9d,lamp,ShapeNet,False,lamp/ShapeNet/f8bdd98f53fd851ec1537287b5c50d9d,lamp/ShapeNet/efc262f7c8bc9fe66b1291e0cfc0c93d,True,lamp,lamp,0,"['the', 'target', 'does', 'not', 'have', 'a', 'flat', 'platform', 'attached', 'to', 'its', 'shade']",12,the target does not have a flat platform attached to its shade,train,train,train,train,"[1, 10, 11, 39, 40, 84, 26, 129, 1286, 115, 58, 5, 1873, 2, 0, 0, 0, 0]",shade,,
27572,27572,user_1461,The target's shade is cut at an angle.,3R9WASFE219YOOBACY75Z5EX27GZF3,63.0,efc262f7c8bc9fe66b1291e0cfc0c93d,lamp,ShapeNet,f8bdd98f53fd851ec1537287b5c50d9d,lamp,ShapeNet,False,lamp/ShapeNet/f8bdd98f53fd851ec1537287b5c50d9d,lamp/ShapeNet/efc262f7c8bc9fe66b1291e0cfc0c93d,True,lamp,lamp,0,"['the', 'target', ""'s"", 'shade', 'is', 'cut', 'at', 'an', 'angle']",9,the target 's shade is cut at an angle,train,train,train,train,"[1, 10, 11, 12, 1873, 7, 1231, 98, 72, 106, 2, 0, 0, 0, 0, 0, 0, 0]",shade,,
27573,27573,user_607,The target has a short shade.,3LYA37P8ISGDMC087VIZT0ZZJQ4BKK,122.0,107b8c870eade2481735ea0e092a805a,lamp,ShapeNet,e7ffebf4dd9176542cd2160e449d45ae,lamp,ShapeNet,False,lamp/ShapeNet/e7ffebf4dd9176542cd2160e449d45ae,lamp/ShapeNet/107b8c870eade2481735ea0e092a805a,True,lamp,lamp,0,"['the', 'target', 'has', 'a', 'short', 'shade']",6,the target has a short shade,train,train,train,train,"[1, 10, 11, 24, 26, 8, 1873, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",shade,,
27574,27574,user_1746,The target has a shorter shade,3QAVNHZ3EOXJN8DYMHU4DPS8Q8GLAU,57.0,6e46cdd2f97cd28ad98bf80379cd1d6,lamp,ShapeNet,dc005e462f4941078a3097a6302b0866,lamp,ShapeNet,False,lamp/ShapeNet/dc005e462f4941078a3097a6302b0866,lamp/ShapeNet/6e46cdd2f97cd28ad98bf80379cd1d6,True,lamp,lamp,0,"['the', 'target', 'has', 'a', 'short', '-er', 'shade']",7,the target has a short -er shade,train,train,train,train,"[1, 10, 11, 24, 26, 8, 9, 1873, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",shade,,
27575,27575,user_2139,Target lamp has taller base.,3LKC68YZ3CWO06JY0E6ONVTTDV1WO8,48.0,6e46cdd2f97cd28ad98bf80379cd1d6,lamp,ShapeNet,dc005e462f4941078a3097a6302b0866,lamp,ShapeNet,False,lamp/ShapeNet/dc005e462f4941078a3097a6302b0866,lamp/ShapeNet/6e46cdd2f97cd28ad98bf80379cd1d6,True,lamp,lamp,0,"['target', 'lamp', 'has', 'tall', '-er', 'base']",6,target lamp has tall -er base,train,train,train,train,"[1, 11, 295, 24, 53, 9, 103, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",base,,
27576,27576,user_845,it doesn't have a square base,3LPW2N6LKVVP0SOB0ZVOW185BRMU5H,400.0,ac662716b87687be71e364dec61013a6,lamp,ShapeNet,dbc50a84c8d24f9168c981036afdae64,lamp,ShapeNet,False,lamp/ShapeNet/dbc50a84c8d24f9168c981036afdae64,lamp/ShapeNet/ac662716b87687be71e364dec61013a6,False,lamp,lamp,0,"['it', 'does', 'not', 'have', 'a', 'square', 'base']",7,it does not have a square base,train,train,train,train,"[1, 23, 39, 40, 84, 26, 50, 103, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",base,,
27577,27577,user_1312,The target doesn't have a base,33IZTU6J83UINYGHH0JJ9JH1JP0XSV,107.0,ac662716b87687be71e364dec61013a6,lamp,ShapeNet,dbc50a84c8d24f9168c981036afdae64,lamp,ShapeNet,False,lamp/ShapeNet/dbc50a84c8d24f9168c981036afdae64,lamp/ShapeNet/ac662716b87687be71e364dec61013a6,False,lamp,lamp,0,"['the', 'target', 'does', 'not', 'have', 'a', 'base']",7,the target does not have a base,train,train,train,train,"[1, 10, 11, 39, 40, 84, 26, 103, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",base,,
27580,27580,user_697,The target has a wider base,3QL2OFSM98BX4NDHI86AWCMLV5ICN4,215.0,dde3b4bb9fb1ad25e0d089cf3411494c,lamp,ShapeNet,5b74e8ee70acba2827d25c76a863dd52,lamp,ShapeNet,False,lamp/ShapeNet/5b74e8ee70acba2827d25c76a863dd52,lamp/ShapeNet/dde3b4bb9fb1ad25e0d089cf3411494c,True,lamp,lamp,0,"['the', 'target', 'has', 'a', 'wide', '-er', 'base']",7,the target has a wide -er base,train,train,train,train,"[1, 10, 11, 24, 26, 83, 9, 103, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",base,,
27581,27581,user_1249,The target has a bigger base,3HMIGG0U4NZP4JRI8YZGB6O99XPY8W,329.0,dde3b4bb9fb1ad25e0d089cf3411494c,lamp,ShapeNet,5b74e8ee70acba2827d25c76a863dd52,lamp,ShapeNet,False,lamp/ShapeNet/5b74e8ee70acba2827d25c76a863dd52,lamp/ShapeNet/dde3b4bb9fb1ad25e0d089cf3411494c,True,lamp,lamp,0,"['the', 'target', 'has', 'a', 'big', '-er', 'base']",7,the target has a big -er base,train,train,train,train,"[1, 10, 11, 24, 26, 320, 9, 103, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",base,,
27582,27582,user_849,the target's shade is more cup-shaped,3TOK3KHVJVB9ARIXS6YCVFUCK5V7OM,54.0,3e1a71694488a4cd77b98fdac17a3204,lamp,ShapeNet,d939b56b53aa7e7c42f80363988bcb92,lamp,ShapeNet,False,lamp/ShapeNet/d939b56b53aa7e7c42f80363988bcb92,lamp/ShapeNet/3e1a71694488a4cd77b98fdac17a3204,True,lamp,lamp,0,"['the', 'target', ""'s"", 'shade', 'is', 'more', 'cup', 'shaped']",8,the target 's shade is more cup shaped,train,train,train,train,"[1, 10, 11, 12, 1873, 7, 34, 870, 14, 2, 0, 0, 0, 0, 0, 0, 0, 0]",shade,,
27583,27583,user_948,The base is thicker,3K9FOBBF2JCQ7R7NVLZ9ZVC8PDPLNK,53.0,3e1a71694488a4cd77b98fdac17a3204,lamp,ShapeNet,d939b56b53aa7e7c42f80363988bcb92,lamp,ShapeNet,False,lamp/ShapeNet/d939b56b53aa7e7c42f80363988bcb92,lamp/ShapeNet/3e1a71694488a4cd77b98fdac17a3204,True,lamp,lamp,0,"['the', 'base', 'is', 'thick', '-er']",5,the base is thick -er,train,train,train,train,"[1, 10, 103, 7, 54, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",base,,
27584,27584,user_920,The target has a smaller base.,3T111IHZ5GJGLNY6ZVD036QNQIER92,88.0,lamp_0042,lamp,ModelNet,ce879c871fe2015b4cbf9a02e3342127,lamp,ShapeNet,False,lamp/ShapeNet/ce879c871fe2015b4cbf9a02e3342127,lamp/ModelNet/lamp_0042,True,lamp,lamp,0,"['the', 'target', 'has', 'a', 'small', '-er', 'base']",7,the target has a small -er base,train,train,train,train,"[1, 10, 11, 24, 26, 111, 9, 103, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",base,,
27585,27585,user_1050,The base and body is much thinner and less bulky.,3BF51CHDTX3L0ZWQ3UIDWRNO0MC0HQ,122.0,lamp_0042,lamp,ModelNet,ce879c871fe2015b4cbf9a02e3342127,lamp,ShapeNet,False,lamp/ShapeNet/ce879c871fe2015b4cbf9a02e3342127,lamp/ModelNet/lamp_0042,True,lamp,lamp,0,"['the', 'base', 'and', 'body', 'is', 'much', 'thin', '-er', 'and', 'less', 'bulky']",11,the base and body is much thin -er and less bulky,train,train,train,train,"[1, 10, 103, 47, 45, 7, 59, 60, 9, 47, 229, 483, 2, 0, 0, 0, 0, 0]",unknown,,shade
27586,27586,user_1216,"Target has a slimmer, single strut body",3OXV7EAXLGJ1K2B6QY9S1YW5U3Q36Z,167.0,5aeb223a91320c39edd4171cd40b3feb,lamp,ShapeNet,b668df78adedbd1735ea0e092a805a,lamp,ShapeNet,False,lamp/ShapeNet/b668df78adedbd1735ea0e092a805a,lamp/ShapeNet/5aeb223a91320c39edd4171cd40b3feb,True,lamp,lamp,0,"['target', 'has', 'a', 'slim', '-er', 'single', 'strut', 'body']",8,target has a slim -er single strut body,train,train,train,train,"[1, 11, 24, 26, 829, 9, 86, 4283, 45, 2, 0, 0, 0, 0, 0, 0, 0, 0]",tube,,
27590,27590,user_765,it does not have a decorative trim around the shade.,38BQUHLA9YTSVUPKWC01EXR2FUIMO4,85.0,c9a0c193805df62accbc9e602dbf6a4a,lamp,ShapeNet,e959384247c0dfbe1e18a354bfd56290,lamp,ShapeNet,False,lamp/ShapeNet/e959384247c0dfbe1e18a354bfd56290,lamp/ShapeNet/c9a0c193805df62accbc9e602dbf6a4a,False,lamp,lamp,0,"['it', 'does', 'not', 'have', 'a', 'decorative', 'trim', 'around', 'the', 'shade']",10,it does not have a decorative trim around the shade,train,train,train,train,"[1, 23, 39, 40, 84, 26, 216, 760, 239, 10, 1873, 2, 0, 0, 0, 0, 0, 0]",shade,,
27591,27591,user_920,The target has five wires/poles.,3S3AMIZX3WYOIBM4TES707ARH2VDC4,96.0,c9a0c193805df62accbc9e602dbf6a4a,lamp,ShapeNet,e959384247c0dfbe1e18a354bfd56290,lamp,ShapeNet,False,lamp/ShapeNet/e959384247c0dfbe1e18a354bfd56290,lamp/ShapeNet/c9a0c193805df62accbc9e602dbf6a4a,False,lamp,lamp,0,"['the', 'target', 'has', 'five', 'wires', 'poles']",6,the target has five wires poles,train,train,train,train,"[1, 10, 11, 24, 953, 971, 1008, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",tube,,
27594,27594,user_1191,The target shade has a curve toward the base.,3T111IHZ5GJGLNY6ZVD036QNQIOR9C,101.0,421c9c7d606e0cbf26c27fcd604ee778,lamp,ShapeNet,e613b3c2006c457ea35a7666f0cfa5bb,lamp,ShapeNet,False,lamp/ShapeNet/e613b3c2006c457ea35a7666f0cfa5bb,lamp/ShapeNet/421c9c7d606e0cbf26c27fcd604ee778,False,lamp,lamp,0,"['the', 'target', 'shade', 'has', 'a', 'curve', 'toward', 'the', 'base']",9,the target shade has a curve toward the base,train,train,train,train,"[1, 10, 11, 1873, 24, 26, 43, 1713, 10, 103, 2, 0, 0, 0, 0, 0, 0, 0]",unknown,,shade
27595,27595,user_193,Target has a barrel shaped shade.,3TMSXRD2X8T34ECXUC8DBZGLKK61W5,121.0,600b2f00113ad714e2367b9e27f16a71,lamp,ShapeNet,4d44c896993e80a11391d5b018495c2c,lamp,ShapeNet,False,lamp/ShapeNet/4d44c896993e80a11391d5b018495c2c,lamp/ShapeNet/600b2f00113ad714e2367b9e27f16a71,False,lamp,lamp,0,"['target', 'has', 'a', 'barrel', 'shaped', 'shade']",6,target has a barrel shaped shade,train,train,train,train,"[1, 11, 24, 26, 1704, 14, 1873, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",shade,,
27596,27596,user_952,the shade section has gaps in it.,3NXNZ5RS1CQ634ERQHFUYPZNP57794,52.0,600b2f00113ad714e2367b9e27f16a71,lamp,ShapeNet,4d44c896993e80a11391d5b018495c2c,lamp,ShapeNet,False,lamp/ShapeNet/4d44c896993e80a11391d5b018495c2c,lamp/ShapeNet/600b2f00113ad714e2367b9e27f16a71,False,lamp,lamp,0,"['the', 'shade', 'section', 'has', 'gaps', 'in', 'it']",7,the shade section has gaps in it,train,train,train,train,"[1, 10, 1873, 354, 24, 1215, 90, 23, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",shade,,
27600,27600,user_39,target has a much smaller shade,3RXCAC0YITIPIS6IESDA46H542P8G0,58.0,1e83293107d6c3a92cd2160e449d45ae,lamp,ShapeNet,e8e2c055f8ea53a144638317e9e4ff18,lamp,ShapeNet,False,lamp/ShapeNet/e8e2c055f8ea53a144638317e9e4ff18,lamp/ShapeNet/1e83293107d6c3a92cd2160e449d45ae,False,lamp,lamp,0,"['target', 'has', 'a', 'much', 'small', '-er', 'shade']",7,target has a much small -er shade,train,train,train,train,"[1, 11, 24, 26, 59, 111, 9, 1873, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",shade,,
